Row=19 OUT_DIR=/users/hiu-yeung.cheng/clusterlensing/out/row19 DE_PROCS=16 MCMC_PROCS=16
Setup complete. Lensing system initialized.
True time delays: [    0.          5201.08757622  6850.59579048  9198.20059967
 12836.10862488]
True luminosity distances: 12897.795818028997
Lensed luminosity distances: [3.15908064e+03 1.98226115e+03 2.55292037e+03 9.94858451e+03
 1.13818479e+07]

Running the full analysis pipeline...
--- Running DE for Cluster 0 ---
[DE] Process Pool with 16 procs (init=latinhypercube, popsize=50)
differential_evolution step 1: f(x)= 1438.5547699914437
differential_evolution step 2: f(x)= 1438.5547699914437
differential_evolution step 3: f(x)= 1438.5547699914437
differential_evolution step 4: f(x)= 1438.5547699914437
differential_evolution step 5: f(x)= 1438.5547699914437
differential_evolution step 6: f(x)= 1438.5547699914437
differential_evolution step 7: f(x)= 1438.5547699914437
differential_evolution step 8: f(x)= 1438.5547699914437
differential_evolution step 9: f(x)= 1438.5547699914437
differential_evolution step 10: f(x)= 1438.5547699914437
differential_evolution step 11: f(x)= 1438.5547699914437
differential_evolution step 12: f(x)= 1438.5547699914437
differential_evolution step 13: f(x)= 1438.5547699914437
differential_evolution step 14: f(x)= 920.8387678274544
differential_evolution step 15: f(x)= 920.8387678274544
differential_evolution step 16: f(x)= 920.8387678274544
differential_evolution step 17: f(x)= 920.8387678274544
differential_evolution step 18: f(x)= 920.8387678274544
differential_evolution step 19: f(x)= 920.8387678274544
differential_evolution step 20: f(x)= 920.8387678274544
differential_evolution step 21: f(x)= 920.8387678274544
differential_evolution step 22: f(x)= 920.8387678274544
differential_evolution step 23: f(x)= 920.8387678274544
differential_evolution step 24: f(x)= 724.9101489171421
differential_evolution step 25: f(x)= 724.9101489171421
differential_evolution step 26: f(x)= 724.9101489171421
differential_evolution step 27: f(x)= 724.9101489171421
differential_evolution step 28: f(x)= 724.9101489171421
differential_evolution step 29: f(x)= 724.9101489171421
differential_evolution step 30: f(x)= 724.9101489171421
differential_evolution step 31: f(x)= 724.9101489171421
differential_evolution step 32: f(x)= 724.9101489171421
differential_evolution step 33: f(x)= 724.9101489171421
differential_evolution step 34: f(x)= 724.9101489171421
differential_evolution step 35: f(x)= 724.9101489171421
differential_evolution step 36: f(x)= 724.9101489171421
differential_evolution step 37: f(x)= 724.9101489171421
differential_evolution step 38: f(x)= 582.1849341848707
differential_evolution step 39: f(x)= 582.1849341848707
differential_evolution step 40: f(x)= 582.1849341848707
differential_evolution step 41: f(x)= 582.1849341848707
differential_evolution step 42: f(x)= 582.1849341848707
differential_evolution step 43: f(x)= 582.1849341848707
differential_evolution step 44: f(x)= 582.1849341848707
differential_evolution step 45: f(x)= 582.1849341848707
differential_evolution step 46: f(x)= 582.1849341848707
differential_evolution step 47: f(x)= 582.1849341848707
differential_evolution step 48: f(x)= 582.1849341848707
differential_evolution step 49: f(x)= 582.1849341848707
differential_evolution step 50: f(x)= 582.1849341848707
differential_evolution step 51: f(x)= 582.1849341848707
differential_evolution step 52: f(x)= 582.1849341848707
differential_evolution step 53: f(x)= 582.1849341848707
differential_evolution step 54: f(x)= 582.1849341848707
differential_evolution step 55: f(x)= 582.1849341848707
differential_evolution step 56: f(x)= 582.1849341848707
differential_evolution step 57: f(x)= 582.1849341848707
differential_evolution step 58: f(x)= 582.1849341848707
differential_evolution step 59: f(x)= 582.1849341848707
differential_evolution step 60: f(x)= 582.1849341848707
differential_evolution step 61: f(x)= 580.8591690409685
differential_evolution step 62: f(x)= 578.9681241341038
differential_evolution step 63: f(x)= 578.9681241341038
differential_evolution step 64: f(x)= 578.9681241341038
differential_evolution step 65: f(x)= 574.6418723694835
differential_evolution step 66: f(x)= 574.1808897800452
differential_evolution step 67: f(x)= 574.1808897800452
differential_evolution step 68: f(x)= 574.1808897800452
differential_evolution step 69: f(x)= 574.1808897800452
differential_evolution step 70: f(x)= 566.9483551412169
differential_evolution step 71: f(x)= 566.9483551412169
differential_evolution step 72: f(x)= 566.9483551412169
differential_evolution step 73: f(x)= 559.4862022509376
differential_evolution step 74: f(x)= 559.4862022509376
differential_evolution step 75: f(x)= 559.4862022509376
differential_evolution step 76: f(x)= 559.4862022509376
differential_evolution step 77: f(x)= 559.4862022509376
differential_evolution step 78: f(x)= 559.4862022509376
differential_evolution step 79: f(x)= 557.8702752213603
differential_evolution step 80: f(x)= 557.8702752213603
differential_evolution step 81: f(x)= 557.8702752213603
differential_evolution step 82: f(x)= 557.8702752213603
differential_evolution step 83: f(x)= 557.8702752213603
differential_evolution step 84: f(x)= 557.8702752213603
differential_evolution step 85: f(x)= 557.8702752213603
differential_evolution step 86: f(x)= 557.8702752213603
differential_evolution step 87: f(x)= 557.8702752213603
differential_evolution step 88: f(x)= 557.8702752213603
differential_evolution step 89: f(x)= 557.8702752213603
differential_evolution step 90: f(x)= 557.8702752213603
differential_evolution step 91: f(x)= 557.8702752213603
differential_evolution step 92: f(x)= 557.7888441852978
differential_evolution step 93: f(x)= 557.7888441852978
differential_evolution step 94: f(x)= 557.7888441852978
differential_evolution step 95: f(x)= 557.7888441852978
differential_evolution step 96: f(x)= 557.0849580237682
differential_evolution step 97: f(x)= 557.0849580237682
differential_evolution step 98: f(x)= 557.0849580237682
differential_evolution step 99: f(x)= 557.0849580237682
differential_evolution step 100: f(x)= 557.0849580237682
differential_evolution step 101: f(x)= 557.0849580237682
differential_evolution step 102: f(x)= 557.0849580237682
differential_evolution step 103: f(x)= 557.0849580237682
differential_evolution step 104: f(x)= 557.0849580237682
differential_evolution step 105: f(x)= 556.3658362835004
differential_evolution step 106: f(x)= 556.3658362835004
differential_evolution step 107: f(x)= 556.3658362835004
differential_evolution step 108: f(x)= 556.3658362835004
differential_evolution step 109: f(x)= 556.3658362835004
differential_evolution step 110: f(x)= 556.3658362835004
differential_evolution step 111: f(x)= 556.3658362835004
differential_evolution step 112: f(x)= 556.3658362835004
differential_evolution step 113: f(x)= 556.3658362835004
differential_evolution step 114: f(x)= 556.3658362835004
differential_evolution step 115: f(x)= 556.3658362835004
differential_evolution step 116: f(x)= 556.3658362835004
differential_evolution step 117: f(x)= 556.3658362835004
differential_evolution step 118: f(x)= 556.3658362835004
differential_evolution step 119: f(x)= 556.3658362835004
differential_evolution step 120: f(x)= 556.3658362835004
differential_evolution step 121: f(x)= 556.3658362835004
differential_evolution step 122: f(x)= 556.3658362835004
differential_evolution step 123: f(x)= 556.1749427593314
differential_evolution step 124: f(x)= 556.1749427593314
differential_evolution step 125: f(x)= 556.1749427593314
differential_evolution step 126: f(x)= 556.1749427593314
differential_evolution step 127: f(x)= 556.1447698658149
differential_evolution step 128: f(x)= 556.1447698658149
differential_evolution step 129: f(x)= 556.1447698658149
differential_evolution step 130: f(x)= 556.1447698658149
differential_evolution step 131: f(x)= 556.1447698658149
differential_evolution step 132: f(x)= 556.1433480367455
differential_evolution step 133: f(x)= 556.1433480367455
differential_evolution step 134: f(x)= 556.1433480367455
differential_evolution step 135: f(x)= 556.1433480367455
differential_evolution step 136: f(x)= 556.1221715257191
differential_evolution step 137: f(x)= 556.0955275458861
differential_evolution step 138: f(x)= 556.0520789028843
differential_evolution step 139: f(x)= 555.9876406109317
differential_evolution step 140: f(x)= 555.9876406109317
differential_evolution step 141: f(x)= 555.9876406109317
differential_evolution step 142: f(x)= 555.9876406109317
differential_evolution step 143: f(x)= 555.9876406109317
differential_evolution step 144: f(x)= 555.9876406109317
differential_evolution step 145: f(x)= 555.9876406109317
differential_evolution step 146: f(x)= 555.9499747662481
differential_evolution step 147: f(x)= 555.9499747662481
differential_evolution step 148: f(x)= 555.9499747662481
differential_evolution step 149: f(x)= 555.9499747662481
differential_evolution step 150: f(x)= 555.9499747662481
differential_evolution step 151: f(x)= 555.9499747662481
differential_evolution step 152: f(x)= 555.9499747662481
differential_evolution step 153: f(x)= 555.9499747662481
differential_evolution step 154: f(x)= 555.9499747662481
differential_evolution step 155: f(x)= 555.9499747662481
differential_evolution step 156: f(x)= 555.9499747662481
differential_evolution step 157: f(x)= 555.9499747662481
differential_evolution step 158: f(x)= 555.9499747662481
differential_evolution step 159: f(x)= 555.9499747662481
differential_evolution step 160: f(x)= 555.9499747662481
differential_evolution step 161: f(x)= 555.9499747662481
differential_evolution step 162: f(x)= 555.9499747662481
differential_evolution step 163: f(x)= 555.9499747662481
differential_evolution step 164: f(x)= 555.9499747662481
differential_evolution step 165: f(x)= 555.9499747662481
differential_evolution step 166: f(x)= 555.9499747662481
differential_evolution step 167: f(x)= 555.9499747662481
differential_evolution step 168: f(x)= 555.9499747662481
differential_evolution step 169: f(x)= 555.9499747662481
